drugName,drug_category,Padding_re_con,sentiment,uC_rank,drug_category_encoded
Levonorgestrel,Hormonal Contraceptives,"[127, 21, 13, 783, 15, 13, 10, 4, 156, 13, 7, 10, 4, 180, 241, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[642, 181, 154, 156, 18, 416, 543, 47, 45, 434, 549, 20, 36, 124, 708, 45, 312, 521, 1106, 23, 335, 209, 2376, 22, 702, 150, 166, 742, 76, 98, 407, 47, 1, 21, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[35, 19, 47, 1, 37, 767, 139, 43, 41, 147, 41, 833, 1292, 90, 267, 101, 267, 2421, 778, 826, 48, 212, 48, 3, 350, 767, 139, 59, 82, 522, 139, 772, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[35, 19, 102, 124, 72, 1742, 104, 28, 9, 478, 1, 21, 28, 2, 23, 103, 50, 46, 7776, 222, 386, 28, 1649, 388, 34, 102, 275, 226, 175, 47, 1, 21, 34, 633, 964, 106, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[8, 715, 435, 156, 340, 180, 19, 93, 15, 18, 43, 2788, 182, 1, 124, 10, 4, 333, 72, 236, 420, 436, 20, 1449, 15, 533, 20, 26, 221, 19, 48, 666, 444, 340, 215, 16, 432, 1026, 215, 295, 63, 183, 249, 56, 16, 7, 255, 158, 34, 116, 2166, 991, 87, 2608, 1, 3489, 991, 158, 10, 4, 43, 532, 20, 190, 106, 168, 141, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[31, 18, 1207, 130, 1978, 428, 85, 77, 333, 2182, 85, 163, 249, 282, 25, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[761, 695, 461, 34, 150, 166, 5, 36, 423, 74, 135, 69, 599, 28, 481, 5, 32, 35, 2540, 56, 259, 189, 36, 394, 96, 1074, 63, 383, 1, 573, 583, 36, 394, 107, 181, 148, 35, 1091, 107, 138, 56, 69, 49, 58, 444, 1214, 941, 24, 84, 223, 35, 784, 636, 43, 59, 374, 115, 7, 63, 585, 121, 861, 108, 23, 136, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[6596, 50, 24, 832, 15, 176, 18, 5, 186, 44, 122, 157, 1428, 889, 49, 2, 308, 145, 157, 55, 2395, 84, 1175, 1, 382, 21, 279, 193, 287, 215, 23, 22, 175, 283, 261, 1035, 262, 22, 8, 580, 214, 33, 832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[15, 568, 402, 135, 568, 399, 103, 187, 20, 54, 1022, 54, 8405, 307, 273, 184, 186, 135, 732, 3264, 96, 121, 63, 179, 88, 15, 568, 20, 76, 641, 63, 1639, 365, 140, 3648, 116, 130, 5, 380, 574, 20, 637, 534, 429, 190, 48, 3, 54, 215, 54, 87, 1026, 179, 205, 5842, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[22, 133, 14, 12, 47, 59, 96, 736, 1061, 74, 331, 172, 566, 32, 367, 12548, 935, 3, 617, 56, 191, 171, 211, 59, 113, 14, 12, 15, 229, 77, 101, 141, 279, 507, 50, 323, 928, 117, 55, 473, 7313, 85, 163, 1340, 15, 19, 802, 331, 96, 266, 10, 4, 20, 400, 317, 190, 614, 156, 18, 617, 158, 88, 190, 20, 14, 12, 97, 149, 98, 22, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[9, 724, 674, 935, 24, 1042, 449, 661, 8, 1208, 17, 86, 14, 12, 21, 209, 152, 85, 163, 25, 69, 7, 106, 168, 1359, 8, 30, 31, 10455, 24, 1228, 261, 751, 661, 8, 26, 337, 42, 8, 434, 616, 359, 9, 10455, 190, 5, 227, 221, 777, 267, 51, 63, 39, 10455, 7, 235, 20, 121, 13, 620, 7, 272, 77, 45, 77, 39, 9, 21, 199, 102, 371, 152, 216, 33, 1495, 1208, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[119, 134, 716, 841, 106, 35, 284, 416, 148, 7, 1505, 739, 881, 42, 448, 1254, 1505, 176, 3, 441, 9, 20, 7, 10, 4, 1, 284, 416, 64, 151, 254, 898, 2, 151, 6, 53, 881, 8, 213, 1, 1866, 3511, 210, 685, 191, 131, 153, 1049, 3826, 1166, 3981, 284, 416, 30, 284, 17, 14, 12, 689, 59, 479, 530, 210, 1992, 20, 3293, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,0
Levonorgestrel,Hormonal Contraceptives,"[35, 21, 764, 43, 350, 94, 589, 221, 19, 148, 295, 70, 35, 59, 975, 21, 6, 36, 20, 762, 143, 13, 93, 357, 69, 390, 94, 55, 33, 191, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[36, 15, 467, 199, 547, 379, 19, 5, 1052, 521, 3, 221, 19, 148, 32, 54, 892, 54, 204, 4827, 42, 2000, 42, 547, 281, 28, 54, 795, 54, 50, 17, 5867, 3551, 54, 1024, 54, 247, 908, 187, 31, 7, 2489, 156, 31, 14825, 4174, 2131, 792, 291, 939, 2006, 52, 19, 2000, 70, 9, 85, 163, 100, 3441, 70, 50, 193, 52, 3, 295, 830, 172, 52, 3, 295, 148, 924, 187, 1441, 1565, 1178, 395, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[724, 674, 935, 2, 2718, 96, 15, 8, 18, 31, 756, 156, 19, 19, 499, 20, 116, 5, 215, 170, 32, 462, 3074, 28, 399, 8, 49, 111, 176, 18, 125, 354, 69, 195, 49, 180, 125, 559, 243, 389, 29, 39, 2, 192, 18, 2, 55, 33, 542, 1, 1310, 557, 59, 479, 244, 23, 21, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[35, 2157, 235, 26, 179, 9, 241, 137, 18, 967, 20, 9, 140, 402, 91, 567, 16, 756, 398, 403, 52, 20, 18, 578, 81, 33, 55, 96, 434, 85, 163, 290, 276, 320, 2, 111, 362, 359, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[15, 36, 704, 74, 521, 659, 1586, 79, 43, 694, 120, 317, 18, 9, 8, 20, 19, 13, 44, 106, 168, 419, 31, 75, 197, 28, 8, 172, 31, 135, 44, 617, 14, 12, 620, 31, 897, 135, 3, 135, 936, 9, 20, 47, 180, 762, 235, 1512, 20, 113, 348, 7, 41, 96, 43, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[271, 9, 14, 12, 3598, 15, 96, 674, 935, 183, 98, 39, 21, 16, 2591, 674, 68, 432, 346, 390, 693, 134, 727, 106, 168, 2088, 11, 134, 88, 1093, 326, 588, 390, 81, 371, 358, 106, 168, 100, 229, 290, 113, 14, 12, 159, 6, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[467, 375, 303, 213, 143, 15, 31, 247, 15, 31, 701, 19, 7, 5399, 156, 31, 7, 5399, 403, 438, 31, 402, 19, 13, 156, 31, 140, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[9, 1, 21, 66, 36, 20, 8, 172, 117, 1, 14, 12, 21, 2, 54, 121, 54, 34, 154, 13131, 269, 65, 209, 3, 232, 21, 404, 613, 272, 2, 790, 6, 772, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[127, 1792, 572, 1277, 461, 144, 196, 44, 2, 1505, 831, 521, 11490, 2462, 3, 847, 783, 50, 108, 377, 8, 373, 370, 21, 96, 332, 63, 16, 139, 11, 3024, 459, 16, 2304, 75, 1792, 139, 63, 5, 2877, 120, 1792, 3, 2462, 121, 1741, 7142, 831, 1186, 1074, 846, 2, 151, 10, 4, 961, 5399, 5399, 499, 1792, 19, 1227, 2, 151, 10, 4, 396, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[345, 74, 7, 31, 741, 5, 836, 1643, 704, 7, 75, 15, 26, 28, 93, 836, 971, 70, 669, 63, 20, 190, 43, 929, 309, 106, 599, 557, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[505, 171, 15, 61, 113, 57, 50, 8, 156, 171, 147, 139, 701, 146, 18, 526, 1386, 1575, 316, 779, 287, 1026, 177, 249, 57, 1, 305, 301, 335, 482, 9, 1190, 750, 179, 241, 15, 52, 18, 505, 1427, 74, 2133, 408, 40, 70, 6, 1083, 9, 70, 74, 2588, 122, 1120, 37, 70, 40, 299, 575, 1088, 249, 250, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[674, 428, 116, 85, 163, 278, 278, 26, 120, 419, 93, 52, 19, 18, 54, 88, 54, 353, 52, 19, 54, 335, 54, 575, 502, 20, 229, 613, 95, 1122, 258, 693, 357, 1988, 522, 604, 341, 2, 93, 674, 102, 95, 47, 3761, 2356, 93, 120, 674, 2, 5604, 34, 542, 21, 278, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Levonorgestrel,Hormonal Contraceptives,"[568, 135, 115, 79, 870, 96, 150, 133, 1420, 695, 14, 12, 309, 65, 466, 135, 5, 2, 514, 299, 162, 64, 112, 32, 697, 302, 60, 1147, 31, 371, 2398, 51, 63, 160, 478, 466, 36, 222, 1079, 147, 1536, 268, 142, 168, 394, 241, 63, 831, 5, 354, 49, 97, 149, 14, 12, 22, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[15, 36, 74, 379, 159, 20, 18, 697, 88, 124, 20, 15, 26, 9, 1698, 20, 18, 526, 307, 32, 169, 88, 42, 417, 79, 23, 2527, 247, 26, 34, 9, 295, 1176, 55, 33, 415, 14, 12, 132, 53, 91, 2448, 69, 26, 55, 124, 45, 28, 2, 23, 103, 7, 712, 10, 4, 2, 191, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Levonorgestrel,Hormonal Contraceptives,"[7, 515, 13137, 76, 52, 26, 135, 2, 41, 312, 50, 394, 596, 5, 676, 4339, 269, 273, 41, 68, 267, 419, 35, 397, 80, 145, 402, 376, 54, 88, 54, 5, 147, 5, 38, 1111, 394, 701, 42, 63, 121, 18, 42, 8, 20, 179, 241, 52, 18, 66, 9, 8, 43, 41, 63, 16, 15, 135, 2, 151, 23, 44, 5, 864, 523, 8, 127, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,0
Etonogestrel,Hormonal Contraceptives,"[392, 14, 12, 36, 135, 441, 762, 36, 584, 1, 21, 20, 215, 20, 528, 215, 121, 271, 36, 20, 18, 66, 221, 30, 14, 12, 64, 295, 53, 122, 99, 1464, 295, 2005, 88, 140, 30, 410, 962, 798, 1301, 233, 3, 34, 14, 12, 64, 390, 588, 25, 372, 2, 82, 234, 1166, 230, 80, 23, 30, 21, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[36, 396, 92, 28, 149, 906, 37, 508, 80, 676, 98, 121, 427, 18, 200, 16, 2, 40, 2269, 298, 307, 32, 121, 170, 193, 307, 136, 19, 307, 136, 19, 1071, 310, 2114, 204, 32, 281, 79, 268, 557, 20, 199, 197, 111, 29, 8, 903, 349, 99, 191, 268, 990, 199, 8, 29, 8, 298, 250, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[1, 674, 7, 694, 15, 14, 12, 22, 1, 21, 134, 180, 20, 69, 589, 32, 1998, 2, 20, 88, 484, 190, 28, 2, 4, 1039, 406, 148, 34, 21, 35, 103, 45, 131, 453, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,5,0
Etonogestrel,Hormonal Contraceptives,"[396, 897, 953, 31, 20, 953, 100, 52, 18, 1064, 9, 70, 386, 70, 39, 722, 434, 40, 3, 93, 434, 575, 296, 31, 60, 22, 9919, 13, 40, 35, 11001, 19, 50, 103, 146, 3, 40, 9, 70, 47, 56, 167, 16, 6, 52, 3, 688, 5, 70, 1026, 160, 342, 333, 70, 183, 85, 163, 116, 228, 662, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[26, 21, 2642, 10, 4, 336, 165, 469, 197, 568, 135, 599, 80, 175, 503, 814, 589, 63, 140, 342, 20, 47, 41, 99, 492, 5, 107, 35, 784, 198, 82, 1081, 224, 6, 35, 5, 358, 880, 142, 23, 6, 831, 20, 618, 44, 1290, 28, 82, 423, 244, 200, 114, 48, 395, 757, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[35, 1766, 48, 3, 20, 20, 19, 441, 2467, 210, 44, 411, 89, 211, 111, 144, 3, 148, 20, 221, 63, 388, 545, 8742, 47, 159, 8, 1128, 914, 188, 428, 150, 24, 22, 424, 30, 459, 1070, 189, 150, 1757, 188, 428, 6, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,4,0
Etonogestrel,Hormonal Contraceptives,"[375, 2244, 299, 438, 26, 18, 8, 127, 1972, 377, 1, 26, 36, 581, 15, 26, 20, 2580, 403, 7, 20, 18, 114, 20, 371, 33, 55, 100, 183, 156, 26, 85, 163, 16, 335, 33, 55, 45, 438, 26, 184, 7, 45, 333, 85, 163, 51, 25, 968, 37, 23, 57, 40, 55, 33, 341, 63, 41, 445, 6, 45, 30, 173, 541, 293, 1716, 1095, 2592, 114, 1172, 1353, 293, 863, 6552, 17, 16, 7, 118, 293, 14, 12, 68, 489, 13, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Etonogestrel,Hormonal Contraceptives,"[21, 8, 9, 997, 1224, 21, 20, 36, 36, 396, 94, 786, 573, 35, 160, 460, 686, 56, 16, 6227, 135, 5, 61, 55, 33, 102, 541, 1223, 391, 792, 354, 20, 121, 80, 757, 149, 2646, 274, 301, 234, 14, 12, 15, 234, 301, 14, 12, 111, 118, 84, 13, 557, 22, 21, 15, 228, 251, 94, 8, 396, 148, 3278, 2326, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Etonogestrel,Hormonal Contraceptives,"[36, 375, 199, 135, 786, 1413, 379, 1052, 3, 273, 15, 65, 81, 518, 69, 272, 34, 36, 69, 202, 70, 121, 990, 20, 499, 140, 2, 362, 20, 44, 618, 8, 41, 63, 70, 19, 50, 103, 7, 72, 7, 33, 55, 7, 100, 113, 375, 92, 8, 10, 4, 148, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Ethinyl estradiol / norethindrone,Hormonal Contraceptives,"[21, 184, 9, 438, 18, 44, 210, 27, 21, 24, 20, 2829, 74, 118, 2, 191, 9, 187, 338, 137, 13, 74, 21, 94, 1216, 210, 338, 398, 670, 173, 131, 295, 400, 20, 1494, 1224, 21, 268, 438, 18, 3390, 594, 118, 557, 21, 140, 298, 1767, 32, 7188, 617, 21, 150, 166, 1430, 2, 200, 369, 272, 2685, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
Levonorgestrel,Hormonal Contraceptives,"[1984, 76, 179, 61, 135, 709, 1475, 205, 786, 93, 1132, 478, 84, 63, 831, 51, 3, 56, 190, 270, 573, 89, 175, 1, 784, 94, 188, 1933, 616, 70, 190, 94, 3550, 206, 404, 113, 14, 12, 80, 266, 10, 4, 81, 91, 1260, 21, 14, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[206, 79, 870, 96, 112, 31, 266, 10, 4, 106, 689, 567, 35, 284, 416, 148, 907, 136, 19, 783, 199, 213, 20, 448, 16, 2837, 47, 43, 1463, 1401, 847, 5402, 199, 847, 3, 106, 16, 169, 7, 10, 4, 110, 207, 1679, 51, 27, 101, 144, 20, 9, 70, 1094, 1589, 107, 66, 3, 418, 10, 4, 575, 21, 6, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[1188, 106, 17, 689, 31, 17, 895, 757, 435, 59, 36, 238, 1254, 3019, 320, 274, 499, 8, 20, 3, 546, 50, 1246, 136, 3, 36, 284, 416, 335, 238, 8, 213, 90, 136, 176, 3, 783, 80, 115, 219, 175, 341, 335, 391, 55, 16, 783, 80, 263, 184, 451, 211, 148, 221, 394, 398, 521, 14833, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,0
Levonorgestrel,Hormonal Contraceptives,"[1166, 1277, 3, 902, 20, 689, 567, 783, 13, 98, 240, 129, 107, 35, 284, 416, 31, 1147, 148, 3, 101, 90, 904, 69, 286, 612, 279, 129, 20, 221, 441, 70, 63, 70, 48, 516, 70, 523, 20, 18, 39, 4042, 268, 902, 20, 18, 953, 93, 102, 772, 77, 268, 373, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,2,0
